year,rock,punk,metal
1997,389,75,150
1998,344,53,118
1964,316,8,16
1993,357,58,171
1949,8,0,0
2010,150,10,16
1996,317,51,152
2005,299,40,69
1991,283,63,157
2002,300,28,57
2007,247,21,21
1982,262,62,143
1940,11,0,0
2009,145,9,26
1989,376,68,209
1990,457,71,201
1951,14,0,0
2011,90,0,3
1970,415,59,40
1986,312,79,169
1978,281,94,99
1939,7,0,0
1950,68,0,0
1947,15,0,0
1974,176,35,20
1926,1,0,0
1965,276,7,19
1969,225,4,24
2008,205,12,35
25,0,0,1
1980,454,110,147
1995,377,56,184
2006,216,19,44
2000,351,35,85
1934,0,0,0
1992,299,48,128
2013,39,0,0
1935,3,0,0
2003,317,38,82
2004,293,28,46
1954,36,1,0
1963,205,9,9
1946,10,0,0
1983,252,61,135
1999,344,31,92
1976,223,112,30
1971,152,18,11
2014,32,1,4
1985,296,60,179
2012,61,2,4
1994,308,54,167
1977,252,116,56
1981,247,70,132
1984,263,51,185
1968,204,14,18
2001,313,53,56
1987,249,61,161
1988,264,49,198
1979,282,110,117
1966,270,10,15
1972,166,24,16
1960,394,12,11
1916,0,0,0
1967,320,7,23
1955,26,0,0
1975,215,32,46
1959,110,4,1
40,3,2,0
1962,165,1,4
1973,150,27,19
198,6,2,0
1938,2,0,0
1956,85,0,0
1899,0,0,0
1936,0,0,0
1957,75,1,1
1952,18,0,0
1929,0,0,0
3,0,0,0
1909,0,0,0
1862,0,0,0
1930,7,0,0
1920,3,0,0
1948,5,0,0
1910,0,0,0
1914,0,0,0
1941,1,0,0
1922,0,0,0
1902,0,0,0
1937,2,0,0
1924,0,0,0
1931,1,0,0
1945,4,0,0
1849,0,0,0
1927,0,0,0
1925,0,0,0
1961,126,1,3
19,2,0,0
10,1,0,0
90,3,0,0
1870,0,0,0
1958,112,1,2
2015,9,0,0
1943,3,0,0
39,0,0,0
1942,3,0,0
1895,0,0,0
1944,0,0,0
1921,0,0,0
1892,0,0,0
1953,21,1,0
77,0,0,0
1919,2,0,0
1889,0,0,0
22,0,0,0
1878,0,0,0
1917,0,0,0
1904,0,0,0
18,1,0,0
1860,0,0,0
1912,0,0,0
1928,1,0,0
1900,0,0,0
1933,1,0,0
1932,1,0,0
1918,0,0,0
80,6,2,6
1890,0,0,0
1923,0,0,0
52,0,0,0
1875,0,0,0
1905,0,0,0
1867,0,0,0
1891,0,0,0
1903,0,0,0
1915,0,0,0
36,1,0,0
33,0,0,0
199,0,2,2
1880,0,0,0
196,0,0,0
11,1,0,1
1894,0,0,0
70,1,0,0
1790,0,0,0
13,0,0,0
56,0,0,0
195,0,0,0
20,3,0,0
35,0,0,0
1888,0,0,0
1906,0,0,0
1901,0,0,0
1879,0,0,0
1898,0,0,0
1908,0,0,0
1814,0,0,0
1897,0,0,0
1872,0,0,0
-2005,0,0,0
1844,0,0,0
50,0,0,0
1885,0,0,0
1852,0,0,0
31,1,0,0
1755,0,0,0
1596,0,0,0
1,0,0,0
1873,0,0,0
1893,0,0,0
60,0,0,0
1907,0,0,0
1869,0,0,0
1770,0,0,0
1845,0,0,0
197,3,0,0
16,0,0,0
1913,0,0,0
1863,0,0,0
1876,0,0,0
1850,0,0,0
30,1,0,0
1865,0,0,0
94,1,0,0
1887,0,0,0
1911,0,0,0
1776,0,0,0
17,0,0,0
8,0,0,3
1877,0,0,0
37,1,0,0
41,1,0,0
1883,0,0,0
45,0,0,0
1695,0,0,0
65,0,0,0
1774,0,0,0
5,0,0,0
350,0,0,0
32,0,0,0
27,0,0,0
12,0,0,0
1886,0,0,0
